DT_COMPTC,CAPTC_DIA,RESG_DIA
2007-07-03,369.428,110.74
2007-07-04,306.11,89.522
2007-07-05,296.653,106.999
2007-07-06,327.152,116.263
2007-07-09,199.467,97.034
2007-07-10,306.081,99.449
2007-07-11,298.548,140.675
2007-07-12,389.918,64.154
2007-07-13,413.2,104.044
2007-07-16,424.852,105.422
2007-07-17,419.529,177.942
2007-07-18,340.112,54.757
2007-07-19,361.469,47.073
2007-07-20,334.821,124.648
2007-07-23,460.048,125.341
2007-07-24,322.528,56.816
2007-07-25,309.613,64.977
2007-07-26,320.713,102.296
2007-07-27,308.541,202.719
2007-07-30,287.609,272.971
2007-07-31,270.294,73.972
2007-08-01,312.64,62.673
2007-08-02,343.663,204.525
2007-08-03,256.931,81.646
2007-08-06,227.421,86.134
2007-08-07,221.916,177.483
2007-08-08,231.405,106.894
2007-08-09,231.059,50.573
2007-08-10,172.113,87.795
2007-08-13,211.308,310.042
2007-08-14,217.81,146.589
2007-08-15,157.79,218.134
2007-08-16,158.506,425.803
2007-08-17,191.41,1315.535
2007-08-20,672.059,278.49
2007-08-21,312.249,86.632
2007-08-22,295.588,53.147
2007-08-23,398.728,67.828
2007-08-24,315.078,199.507
2007-08-27,243.827,75.837
2007-08-28,163.969,100.328
2007-08-29,144.747,189.484
2007-08-30,187.334,104.42
2007-08-31,89.813,85.917
2007-09-03,228.387,84.023
2007-09-04,242.928,120.466
2007-09-05,161.602,152.387
2007-09-06,135.468,124.02
2007-09-10,218.363,93.496
2007-09-11,254.776,159.028
2007-09-12,204.136,97.566
2007-09-13,142.422,165.589
2007-09-14,375.943,396.32
2007-09-17,188.759,394.962
2007-09-18,568.996,121.629
2007-09-19,242.135,114.201
2007-09-20,175.45,247.897
2007-09-21,286.896,323.601
2007-09-24,215.874,170.665
2007-09-25,186.219,203.371
2007-09-26,248.19,190.793
2007-09-27,195.306,242.662
2007-09-28,305.051,421.832
2007-10-01,555.863,339.887
2007-10-02,385.236,205.144
2007-10-03,407.099,186.383
2007-10-04,520.251,239.231
2007-10-05,306.93,205.105
2007-10-08,266.766,115.095
2007-10-09,260.211,348.204
2007-10-10,286.869,203.821
2007-10-11,263.617,158.634
2007-10-15,285.177,192.557
2007-10-16,324.274,122.338
2007-10-17,292.71,185.277
2007-10-18,258.293,242.704
2007-10-19,284.735,132.534
2007-10-22,272.003,362.776
2007-10-23,333.172,162.21
2007-10-24,247.745,100.319
2007-10-25,218.711,213.236
2007-10-26,261.491,96.941
2007-10-29,384.467,182.667
2007-10-30,314.599,358.779
2007-10-31,318.211,354.518
2007-11-01,403.964,177.231
2007-11-05,555.732,176.295
2007-11-06,439.184,261.216
2007-11-07,321.838,83.749
2007-11-08,276.51,99.373
2007-11-09,354.548,281.94
2007-11-12,381.223,190.088
2007-11-13,353.836,377.58
2007-11-14,296.411,160.553
2007-11-16,330.755,89.664
2007-11-19,286.488,124.804
2007-11-20,154.768,216.019
2007-11-21,302.731,69.014
2007-11-22,439.948,199.982
2007-11-23,200.195,215.623
2007-11-26,212.069,155.843
2007-11-27,210.061,282.77
2007-11-28,285.46,240.557
2007-11-29,208.994,139.107
2007-11-30,348.167,339.497
2007-12-03,203.602,105.694
2007-12-04,236.71,153.528
2007-12-05,228.47,113.991
2007-12-06,276.164,177.412
2007-12-07,207.177,249.179
2007-12-10,254.364,222.209
2007-12-11,266.971,286.535
2007-12-12,223.705,180.58
2007-12-13,236.893,199.874
2007-12-14,423.876,217.218
2007-12-17,247.855,121.091
2007-12-18,342.884,189.536
2007-12-19,326.5,158.531
2007-12-20,193.917,150.463
2007-12-21,277.307,311.626
2007-12-24,116.778,145.503
2007-12-26,174.099,114.384
2007-12-27,189.283,207.506
2007-12-28,235.267,268.396
2007-12-31,75.61,131.259
2008-01-02,418.632,106.525
2008-01-03,491.588,215.891
2008-01-04,395.539,126.601
2008-01-07,363.126,119.123
2008-01-08,260.736,200.371
2008-01-09,297.991,189.618
2008-01-10,196.122,190.766
2008-01-11,240.632,143.033
2008-01-14,303.806,135.193
2008-01-15,270.616,162.68
2008-01-16,255.566,292.835
2008-01-17,336.794,483.892
2008-01-18,480.083,287.427
2008-01-21,382.663,236.726
2008-01-22,353.207,443.448
2008-01-23,287.19,643.492
2008-01-24,217.877,270.778
2008-01-25,105.175,103.933
2008-01-28,168.22,129.077
2008-01-29,151.11,187.171
2008-01-30,215.064,163.235
2008-01-31,161.991,186.79
2008-02-01,209.321,257.93
2008-02-06,267.666,178.665
2008-02-07,88.935,167.339
2008-02-08,75.294,161.105
2008-02-11,145.66,98.042
2008-02-12,142.706,184.311
2008-02-13,125.615,209.876
2008-02-14,126.406,335.656
2008-02-15,167.841,203.844
2008-02-18,251.248,141.165
2008-02-19,137.67,109.277
2008-02-20,256.865,202.361
2008-02-21,171.383,154.169
2008-02-22,155.738,144.665
2008-02-25,168.504,166.813
2008-02-26,274.228,142.124
2008-02-27,175.952,183.887
2008-02-28,184.419,362.39
2008-02-29,158.809,215.689
2008-03-03,276.613,196.792
2008-03-04,199.496,105.05
2008-03-05,518.075,137.877
2008-03-06,228.001,81.364
2008-03-07,268.962,376.587
2008-03-10,314.513,93.177
2008-03-11,296.989,245.911
2008-03-12,161.969,94.139
2008-03-13,98.751,107.997
2008-03-14,232.35,162.456
2008-03-17,160.494,140.245
2008-03-18,242.001,175.923
2008-03-19,120.375,147.271
2008-03-20,115.713,220.932
2008-03-24,307.403,146.521
2008-03-25,107.501,107.663
2008-03-26,86.447,123.898
2008-03-27,194.041,243.267
2008-03-28,140.685,157.578
2008-03-31,461.498,153.915
2008-04-01,97.505,127.615
2008-04-02,153.573,149.648
2008-04-03,116.717,236.066
2008-04-04,90.969,249.627
2008-04-07,234.477,311.787
2008-04-08,101.907,310.317
2008-04-09,105.863,265.687
2008-04-10,117.012,275.35
2008-04-11,204.354,206.472
2008-04-14,113.898,346.612
2008-04-15,105.95,164.872
2008-04-16,110.473,602.575
2008-04-17,513.404,376.95
2008-04-18,221.315,255.895
2008-04-22,90.803,648.561
2008-04-23,500.96,262.255
2008-04-24,101.725,338.656
2008-04-25,254.595,308.628
2008-04-28,269.756,133.357
2008-04-29,171.387,146.394
2008-04-30,439.703,260.971
2008-05-02,219.06,137.97
2008-05-05,419.067,226.651
2008-05-06,243.789,357.779
2008-05-07,227.908,377.7
2008-05-08,283.847,341.771
2008-05-09,268.282,113.224
2008-05-12,241.206,158.558
2008-05-13,499.401,188.926
2008-05-14,229.74,227.846
2008-05-15,254.207,233.211
2008-05-16,389.514,378.51
2008-05-19,290.019,269.975
2008-05-20,445.053,716.764
2008-05-21,340.934,195.456
2008-05-23,427.621,435.963
2008-05-26,259.384,213.022
2008-05-27,777.355,288.432
2008-05-28,275.322,143.546
2008-05-29,250.605,149.864
2008-05-30,550.841,149.223
2008-06-02,382.681,185.71
2008-06-03,342.222,133.406
2008-06-04,357.678,108.579
2008-06-05,572.825,176.778
2008-06-06,460.783,75.993
2008-06-09,406.72,247.764
2008-06-10,219.525,233.06
2008-06-11,327.462,177.885
2008-06-12,264.024,144.178
2008-06-13,1171.615,86.269
2008-06-16,327.258,115.455
2008-06-17,219.982,120.384
2008-06-18,237.623,218.41
2008-06-19,211.764,112.164
2008-06-20,442.13,192.096
2008-06-23,238.339,126.367
2008-06-24,136.798,105.16
2008-06-25,196.79,120.341
2008-06-26,207.776,64.474
2008-06-27,137.298,113.724
2008-06-30,266.467,80.486
2008-07-01,159.329,70.359
2008-07-02,212.223,158.576
2008-07-03,251.951,199.882
2008-07-04,381.814,146.926
2008-07-07,144.326,152.723
2008-07-08,119.579,96.122
2008-07-09,45.681,167.005
2008-07-10,113.935,100.077
2008-07-11,95.925,128.744
2008-07-14,209.256,110.264
2008-07-15,82.987,84.675
2008-07-16,130.617,176.432
2008-07-17,143.164,142.991
2008-07-18,284.319,98.871
2008-07-21,186.4,109.204
2008-07-22,163.89,112.42
2008-07-23,125.108,156.944
2008-07-24,104.817,63.84
2008-07-25,502.394,142.254
2008-07-28,182.992,194.523
2008-07-29,119.156,299.422
2008-07-30,299.368,117.711
2008-07-31,176.084,59.68
2008-08-01,259.58,132.722
2008-08-04,257.071,235.302
2008-08-05,167.687,135.508
2008-08-06,88.22,156.634
2008-08-07,95.347,77.903
2008-08-08,136.477,88.277
2008-08-11,474.874,93.9
2008-08-12,146.631,109.333
2008-08-13,85.522,100.721
2008-08-14,45.978,118.797
2008-08-15,80.175,46.031
2008-08-18,91.749,142.423
2008-08-19,150.921,154.65
2008-08-20,80.366,174.72
2008-08-21,97.25,131.668
2008-08-22,97.492,153.736
